	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
Constant	-2.653***	-3.165***	-6.686	-3.061	-6.953***	-7.073***	-0.687***	-0.689***	-0.748***	-0.869***	-0.452***	-0.438***	0.160	-0.121	-3.139***	-2.824***	-4.418	-6.236**	-6.291***	-7.639***	-0.680***	-0.677***	-0.828***	-0.851***	-0.318**	-0.440***	0.137	0.033
	(-4.72)	(-5.69)	(-0.97)	(-1.11)	(-13.89)	(-21.95)	(-105.24)	(-73.66)	(-9.82)	(-14.90)	(-3.12)	(-2.69)	(1.43)	(-1.10)	(-5.34)	(-7.06)	(-0.54)	(-2.02)	(-27.68)	(-23.53)	(-79.84)	(-69.04)	(-19.40)	(-14.75)	(-2.01)	(-3.21)	(0.95)	(0.29)
																												
Observations	34,794	38,545	34,794	38,545	34,794	38,545	34,794	38,545	34,794	38,545	34,794	38,545	34,794	38,545	24,544	27,215	24,544	27,215	24,544	27,215	24,544	27,215	24,544	27,215	24,544	27,215	24,544	27,215
Adjusted R-squared	0.113	0.146	0.147	0.117	0.391	0.322	0.030	0.032	0.157	0.132	0.112	0.090	0.258	0.277	0.121	0.142	0.184	0.121	0.493	0.362	0.010	0.011	0.161	0.129	0.130	0.088	0.250	0.251
Year-quarter FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																												
*** p<0.01, ** p<0.05, * p<0.1																												
